region,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible,date,date_debut
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 00:30:00,2013-06-29 00:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 01:00:00,2013-06-29 01:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 01:30:00,2013-06-29 01:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 02:00:00,2013-06-29 02:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 02:30:00,2013-06-29 02:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 03:00:00,2013-06-29 03:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 03:30:00,2013-06-29 03:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 04:00:00,2013-06-29 04:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 04:30:00,2013-06-29 04:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 05:00:00,2013-06-29 05:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 05:30:00,2013-06-29 05:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 06:00:00,2013-06-29 06:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 06:30:00,2013-06-29 06:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 07:00:00,2013-06-29 07:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 07:30:00,2013-06-29 07:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-29 08:00:00,2013-06-29 08:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 08:00:00,2013-06-28 08:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 08:30:00,2013-06-28 08:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 09:00:00,2013-06-28 09:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 09:30:00,2013-06-28 09:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 10:00:00,2013-06-28 10:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 10:30:00,2013-06-28 10:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 11:00:00,2013-06-28 11:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 11:30:00,2013-06-28 11:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 12:00:00,2013-06-28 12:00:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 12:30:00,2013-06-28 12:30:00
NORMANDIE,nucleaire,17W100P100P0126N,1330.0,730.0,600.0,2013-06-28 13:00:00,2013-06-28 13:00:00
