,region,date_debut,date_fin_previsionnelle,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible
144,GRAND EST,2013-01-29 08:57:00,2013-01-29 11:00:00,thermique,17W100P100P00032,285.0,0.0,285.0
145,GRAND EST,2013-01-30 00:02:00,2013-01-30 00:45:00,hydraulique,17W100P100P00788,202.0,0.0,202.0
146,GRAND EST,2013-01-30 00:38:00,2013-01-30 01:07:00,hydraulique,17W100P100P0076C,202.0,0.0,202.0
147,AUVERGNE RHONE ALPES,2013-01-30 15:10:00,2013-01-31 20:00:00,nucleaire,17W100P100P00974,910.0,0.0,910.0
148,NOUVELLE AQUITAINE,2013-01-30 15:40:00,2013-01-31 12:00:00,nucleaire,17W100P100P00958,910.0,0.0,910.0
149,GRAND EST,2013-01-30 22:00:00,2013-02-01 06:00:00,thermique,17W100P100P0014Y,250.0,0.0,250.0
150,NORMANDIE,2013-01-30 22:20:00,2013-01-30 23:40:00,nucleaire,17W100P100P0140T,1330.0,784.0,546.0
151,NORMANDIE,2013-01-31 05:25:00,2013-01-31 18:00:00,thermique,17W100P100P0023X,580.0,0.0,580.0
152,ILE DE FRANCE,2013-01-31 01:40:00,2013-02-03 04:00:00,thermique,17W100P100P0043R,585.0,0.0,585.0
153,GRAND EST,2013-02-01 11:15:00,2013-02-03 16:00:00,nucleaire,17W100P100P0103Z,1300.0,0.0,1300.0
154,PROVENCE ALPES COTE D AZUR,2013-02-01 08:36:00,2013-02-01 23:59:00,thermique,17W100P100P0009R,595.0,319.0,276.0
155,NORMANDIE,2013-02-02 11:33:00,2013-02-02 16:00:00,thermique,17W100P100P0022Z,585.0,280.0,305.0
156,AUVERGNE RHONE ALPES,2013-02-03 07:19:00,2013-02-03 08:47:00,hydraulique,17W100P100P0056I,259.0,0.0,259.0
157,AUVERGNE RHONE ALPES,2013-02-03 18:26:00,2013-02-03 19:49:00,hydraulique,17W100P100P0064J,152.0,0.0,152.0
158,AUVERGNE RHONE ALPES,2013-02-03 00:30:00,2013-02-06 12:00:00,nucleaire,17W100P100P0146H,1335.0,0.0,1335.0
159,NORMANDIE,2013-02-03 05:30:00,2013-02-11 05:00:00,thermique,17W100P100P0023X,580.0,0.0,580.0
160,ILE DE FRANCE,2013-02-03 06:40:00,2013-02-03 11:30:00,thermique,17W100P100P0027P,250.0,0.0,250.0
161,GRAND EST,2013-02-03 13:00:00,2013-02-03 14:15:00,thermique,17W100P100P0025T,235.0,0.0,235.0
162,GRAND EST,2013-02-05 06:33:00,2013-02-05 07:13:00,hydraulique,17W100P100P00788,202.0,0.0,202.0
163,GRAND EST,2013-02-05 13:39:00,2013-02-05 16:41:00,hydraulique,17W100P100P00788,202.0,0.0,202.0
164,NOUVELLE AQUITAINE,2013-02-05 17:30:00,2013-02-05 18:05:00,hydraulique,17W100P100P0049F,105.0,0.0,105.0
165,OCCITANIE,2013-02-05 18:25:00,2013-02-06 12:00:00,hydraulique,17W100P100P0074G,227.0,0.0,227.0
166,NORMANDIE,2013-02-05 13:50:00,2013-02-06 01:00:00,nucleaire,17W100P100P0126N,1330.0,0.0,1330.0
167,ILE DE FRANCE,2013-02-05 18:00:00,2013-02-06 17:00:00,thermique,17W100P100P0037M,203.0,0.0,203.0
168,ILE DE FRANCE,2013-02-05 18:18:00,2013-02-06 18:00:00,thermique,17W100P100P0041V,185.0,0.0,185.0
169,AUVERGNE RHONE ALPES,2013-02-05 17:30:00,2013-02-05 18:30:00,nucleaire,17W100P100P0153K,915.0,610.0,305.0
170,PROVENCE ALPES COTE D AZUR,2013-02-05 06:43:00,2013-02-07 08:20:00,thermique,17W100P100P0009R,595.0,380.0,215.0
171,AUVERGNE RHONE ALPES,2013-02-06 08:17:00,2013-02-06 09:18:00,hydraulique,17W100P100P0056I,259.0,0.0,259.0
172,AUVERGNE RHONE ALPES,2013-02-06 09:21:00,2013-02-06 10:38:00,hydraulique,17W100P100P0056I,259.0,0.0,259.0
173,ILE DE FRANCE,2013-02-06 08:35:00,2013-02-07 23:59:00,thermique,17W100P100P0026R,250.0,0.0,250.0
174,ILE DE FRANCE,2013-02-06 03:00:00,2013-02-06 08:35:00,thermique,17W100P100P0026R,250.0,150.0,100.0
175,ILE DE FRANCE,2013-02-06 03:00:00,2013-02-06 09:00:00,thermique,17W100P100P0027P,250.0,150.0,100.0
176,NORMANDIE,2013-02-06 04:28:00,2013-02-06 19:44:00,nucleaire,17W100P100P0126N,1330.0,350.0,980.0
177,ILE DE FRANCE,2013-02-06 06:00:00,2013-02-07 23:59:00,thermique,17W100P100P0027P,250.0,0.0,250.0
178,PROVENCE ALPES COTE D AZUR,2013-02-06 10:45:00,2013-02-07 22:00:00,thermique,17W100P100P0174C,465.0,0.0,465.0
179,GRAND EST,2013-02-07 03:05:00,2013-02-07 04:15:00,hydraulique,17W100P100P00788,202.0,0.0,202.0
180,AUVERGNE RHONE ALPES,2013-02-07 17:00:00,2013-02-07 18:18:00,hydraulique,17W100P100P0085B,152.0,0.0,152.0
181,GRAND EST,2013-02-07 07:55:00,2013-02-07 09:55:00,thermique,17W100P100P0173E,427.0,0.0,427.0
182,ILE DE FRANCE,2013-02-07 07:50:00,2013-02-07 14:00:00,thermique,17W100P100P0048H,182.0,0.0,182.0
183,NOUVELLE AQUITAINE,2013-02-07 01:30:00,2013-02-08 03:42:00,nucleaire,17W100P100P0114U,1495.0,376.0,1119.0
184,BOURGOGNE FRANCHE COMTE,2013-02-07 03:51:00,2013-02-07 09:30:00,thermique,17W100P100P0007V,245.0,0.0,245.0
185,AUVERGNE RHONE ALPES,2013-02-08 12:25:00,2013-02-08 13:35:00,hydraulique,17W100P100P0060R,157.0,0.0,157.0
186,PROVENCE ALPES COTE D AZUR,2013-02-08 16:10:00,2013-02-08 16:40:00,hydraulique,17W100P100P0080L,124.0,0.0,124.0
187,PROVENCE ALPES COTE D AZUR,2013-02-08 16:11:00,2013-02-08 16:40:00,hydraulique,17W100P100P0081J,126.0,0.0,126.0
188,PROVENCE ALPES COTE D AZUR,2013-02-08 02:07:00,2013-02-08 08:30:00,thermique,17W100P100P0008T,230.0,0.0,230.0
189,NORMANDIE,2013-02-09 06:00:00,2013-02-11 05:00:00,thermique,17W100P100P0022Z,585.0,0.0,585.0
190,PROVENCE ALPES COTE D AZUR,2013-02-09 03:56:00,2013-02-09 10:00:00,thermique,17W100P100P0009R,595.0,0.0,595.0
191,PROVENCE ALPES COTE D AZUR,2013-02-09 14:38:00,2013-02-11 00:00:00,thermique,17W100P100P01679,425.0,0.0,425.0
192,PROVENCE ALPES COTE D AZUR,2013-02-09 15:00:00,2013-02-11 00:00:00,thermique,17W100P100P01679,425.0,0.0,425.0
193,PROVENCE ALPES COTE D AZUR,2013-02-09 14:38:00,2013-02-11 00:00:00,thermique,17W100P100P01687,486.0,0.0,486.0
194,PROVENCE ALPES COTE D AZUR,2013-02-09 15:00:00,2013-02-11 00:00:00,thermique,17W100P100P01687,486.0,0.0,486.0
195,GRAND EST,2013-02-10 04:37:00,2013-02-10 05:35:00,hydraulique,17W100P100P0076C,202.0,0.0,202.0
196,BOURGOGNE FRANCHE COMTE,2013-02-10 08:15:00,2013-02-11 23:59:00,thermique,17W100P100P0007V,245.0,0.0,245.0
197,PROVENCE ALPES COTE D AZUR,2013-02-10 06:32:00,2013-02-10 09:00:00,thermique,17W100P100P0009R,595.0,300.0,295.0
198,PROVENCE ALPES COTE D AZUR,2013-02-11 09:20:00,2013-02-14 00:00:00,thermique,17W100P100P0174C,465.0,0.0,465.0
199,HAUTS DE FRANCE,2013-02-11 02:28:00,2013-02-11 23:59:00,thermique,17W100P100P0006X,240.0,0.0,240.0
