Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 30
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;5156.0;243.0;5017.0;131;0.0;274.0;;145.0;-658.0;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;4712.0;318.0;9000.0;1273;0.0;1190.0;0.0;56.0;-7129.0;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;7848.0;680.0;;16;0.0;0.0;;146.0;7005.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;3148.0;434.0;7283.0;133;0.0;12.0;;54.0;-4770.0;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;4456.0;78.0;1577.0;125;0.0;678.0;-649.0;76.0;2566.0;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;4970.0;248.0;4994.0;131;0.0;280.0;;143.0;-831.0;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;2797.0;126.0;;122;0.0;1.0;;29.0;2518.0;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;2335.0;235.0;;118;0.0;105.0;0.0;11.0;1861.0;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;4573.0;320.0;8996.0;1294;0.0;1189.0;0.0;56.0;-7285.0;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;2132.0;90.0;7698.0;543;0.0;34.0;;24.0;-6258.0;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;2517.0;58.0;;158;0.0;198.0;-1.0;19.0;2083.0;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;5286.0;316.0;;23;0.0;1018.0;0.0;59.0;3867.0;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;5187.0;829.0;4494.0;703;0.0;1.0;;68.0;-911.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;7561.0;251.0;11964.0;222;0.0;2090.0;-1208.0;67.0;-5829.0;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;03:30;2013-01-01T03:30:00+01:00;7667.0;678.0;;16;0.0;0.0;;148.0;6823.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;04:00;2013-01-01T04:00:00+01:00;7383.0;252.0;11302.0;221;0.0;2114.0;-1769.0;66.0;-4807.0;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;04:00;2013-01-01T04:00:00+01:00;4736.0;247.0;5020.0;119;0.0;278.0;;143.0;-1076.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;04:00;2013-01-01T04:00:00+01:00;3069.0;432.0;7334.0;132;0.0;12.0;;54.0;-4897.0;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;04:00;2013-01-01T04:00:00+01:00;2406.0;58.0;;168;0.0;202.0;-1.0;19.0;1958.0;;;;;;;;;;;;;;;;;
