region_abr;region;date_heure;date;heure;annee_mois;annee;mois;mois_nom;jour;jour_nom;jour_numero;semaine;jour_ferie;consommation;thermique;nucleaire;eolien;solaire;hydraulique;bioenergies;pompage;ech_physiques;export;import;stockage_batterie;destockage_batterie;tch_thermique_rte;tch_nucleaire_rte;tch_eolien_rte;tch_solaire_rte;tch_hydraulique_rte;tch_bioenergies_rte;cap_prod_max_thermique;ind_prod_thermique;thermique_p_disp;cap_prod_max_nucleaire;ind_prod_nucleaire;nucleaire_p_disp;eolien_p_disp;solaire_p_disp;cap_prod_max_hydraulique;ind_prod_hydraulique;hydraulique_p_disp;cap_prod_max_bioenergies;ind_prod_bioenergies;bioenergies_p_disp;region_p_max;tco_thermique;tco_nucleaire;tco_eolien;tco_solaire;tco_hydraulique;tco_pompage;tco_bioenergies;tco_export;tco_import;tco_stockage_batterie;tco_destockage_batterie
FR-OCC;OCCITANIE;2013-01-01 01:00:00;2013-01-01;01:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;4955.0;77.0;2451.0;330.0;0.0;785.0;79.0;-601.0;1830.0;0.0;1830.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.0;0.0;245.0;2620.0;0.0;2620.0;849.0;1040.0;4923.0;0.0;4923.0;126.337;0.0;126.0;9803.6;1.55;49.47;6.66;0.0;15.84;-12.13;1.59;0.0;36.93;0.0;0.0
FR-ARA;AUVERGNE RHONE ALPES;2013-01-01 01:00:00;2013-01-01;01:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;7944.0;252.0;11895.0;257.0;0.0;2828.0;67.0;-328.0;-7029.0;-7029.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;904.0;0.0;904.0;13570.0;0.0;13570.0;335.0;704.0;10679.0;0.0;10679.0;104.762;0.0;105.0;26297.72;3.17;149.74;3.24;0.0;35.6;-4.13;0.84;-88.48;0.0;0.0;0.0
FR-NAQ;NOUVELLE AQUITAINE;2013-01-01 01:00:00;2013-01-01;01:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5422.0;241.0;4962.0;185.0;0.0;421.0;143.0;0.0;-537.0;-537.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;418.0;0.0;418.0;6630.0;595.0;6035.0;356.0;940.0;1617.0;0.0;1617.0;208.036;0.0;208.0;10169.33;4.44;91.52;3.41;0.0;7.76;0.0;2.64;-9.9;0.0;0.0;0.0
FR-NOR;NORMANDIE;2013-01-01 01:00:00;2013-01-01;01:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3549.0;433.0;8224.0;190.0;0.0;12.0;54.0;0.0;-5366.0;-5366.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;753.0;0.0;753.0;10640.0;0.0;10640.0;423.0;206.0;22.0;0.0;22.0;87.757;0.0;88.0;12131.3;12.2;231.73;5.35;0.0;0.34;0.0;1.52;-151.2;0.0;0.0;0.0
FR-BRE;BRETAGNE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2735.0;58.0;0.0;125.0;0.0;197.0;20.0;-1.0;2334.0;0.0;2334.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;658.0;0.0;658.0;0.0;0.0;0.0;716.0;201.0;11.0;0.0;11.0;35.648;0.0;36.0;1621.37;2.12;0.0;4.57;0.0;7.2;-0.04;0.73;0.0;85.34;0.0;0.0
FR-PAC;PROVENCE ALPES COTE D AZUR;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5680.0;316.0;0.0;18.0;0.0;1207.0;56.0;0.0;4083.0;0.0;4083.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2095.0;62.0;2033.0;0.0;0.0;0.0;45.0;611.0;3086.0;0.0;3086.0;149.435;0.0;149.0;5987.01;5.56;0.0;0.32;0.0;21.25;0.0;0.99;0.0;71.88;0.0;0.0
FR-NAQ;NOUVELLE AQUITAINE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5514.0;247.0;5069.0;170.0;0.0;365.0;144.0;0.0;-489.0;-489.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;418.0;0.0;418.0;6630.0;595.0;6035.0;356.0;940.0;1617.0;0.0;1617.0;208.036;0.0;208.0;10169.33;4.48;91.93;3.08;0.0;6.62;0.0;2.61;-8.87;0.0;0.0;0.0
FR-PDL;PAYS DE LA LOIRE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3313.0;126.0;0.0;122.0;0.0;1.0;29.0;0.0;3034.0;0.0;3034.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1837.0;0.0;1837.0;0.0;0.0;0.0;454.0;385.0;5.0;0.0;5.0;56.503;0.0;57.0;2737.18;3.8;0.0;3.68;0.0;0.03;0.0;0.88;0.0;91.58;0.0;0.0
FR-IDF;ILE DE FRANCE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;8499.0;685.0;0.0;15.0;0.0;0.0;146.0;0.0;7652.0;0.0;7652.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2121.0;125.0;1996.0;0.0;0.0;0.0;37.0;108.0;19.0;0.0;19.0;262.354;0.0;262.0;2547.44;8.06;0.0;0.18;0.0;0.0;0.0;1.72;0.0;90.03;0.0;0.0
FR-ARA;AUVERGNE RHONE ALPES;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;7896.0;252.0;12228.0;247.0;0.0;2710.0;65.0;-327.0;-7282.0;-7282.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;904.0;0.0;904.0;13570.0;0.0;13570.0;335.0;704.0;10679.0;0.0;10679.0;104.762;0.0;105.0;26297.72;3.19;154.86;3.13;0.0;34.32;-4.14;0.82;-92.22;0.0;0.0;0.0
FR-HDF;HAUTS DE FRANCE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5926.0;833.0;4499.0;1014.0;0.0;1.0;67.0;0.0;-490.0;-490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1806.0;0.0;1806.0;5460.0;0.0;5460.0;1527.0;186.0;4.0;0.0;4.0;122.104;0.0;122.0;9105.09;14.06;75.92;17.11;0.0;0.02;0.0;1.13;-8.27;0.0;0.0;0.0
FR-GES;GRAND EST;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;4840.0;320.0;9074.0;1166.0;0.0;1298.0;57.0;0.0;-7079.0;-7079.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3378.0;0.0;3378.0;10820.0;0.0;10820.0;1803.0;496.0;2268.0;0.0;2268.0;75.9025;0.0;76.0;18840.15;6.61;187.48;24.09;0.0;26.82;0.0;1.18;-146.26;0.0;0.0;0.0
FR-OCC;OCCITANIE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;4888.0;78.0;1772.0;286.0;0.0;765.0;78.0;-648.0;2554.0;0.0;2554.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.0;0.0;245.0;2620.0;0.0;2620.0;849.0;1040.0;4923.0;0.0;4923.0;126.337;0.0;126.0;9803.6;1.6;36.25;5.85;0.0;15.65;-13.26;1.6;0.0;52.25;0.0;0.0
FR-NOR;NORMANDIE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3570.0;433.0;8380.0;169.0;0.0;12.0;53.0;0.0;-5481.0;-5481.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;753.0;0.0;753.0;10640.0;0.0;10640.0;423.0;206.0;22.0;0.0;22.0;87.757;0.0;88.0;12131.3;12.13;234.73;4.73;0.0;0.34;0.0;1.48;-153.53;0.0;0.0;0.0
FR-CVL;CENTRE VAL DE LOIRE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2560.0;90.0;9397.0;524.0;0.0;34.0;24.0;0.0;-7511.0;-7511.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.0;0.0;157.0;11630.0;0.0;11630.0;662.0;155.0;91.0;0.0;91.0;41.276;0.0;41.0;12735.89;3.52;367.07;20.47;0.0;1.33;0.0;0.94;-293.4;0.0;0.0;0.0
FR-BFC;BOURGOGNE FRANCHE COMTE;2013-01-01 01:30:00;2013-01-01;01:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2326.0;234.0;0.0;104.0;0.0;105.0;13.0;0.0;1865.0;0.0;1865.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;289.0;0.0;289.0;0.0;0.0;0.0;204.0;224.0;430.0;0.0;430.0;24.39;0.0;24.0;1171.28;10.06;0.0;4.47;0.0;4.51;0.0;0.56;0.0;80.18;0.0;0.0
FR-ARA;AUVERGNE RHONE ALPES;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;7882.0;251.0;12274.0;244.0;0.0;2516.0;66.0;-328.0;-7144.0;-7144.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;904.0;0.0;904.0;13570.0;0.0;13570.0;335.0;704.0;10679.0;0.0;10679.0;104.762;0.0;105.0;26297.72;3.18;155.72;3.1;0.0;31.92;-4.16;0.84;-90.64;0.0;0.0;0.0
FR-IDF;ILE DE FRANCE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;8229.0;685.0;0.0;15.0;0.0;0.0;153.0;0.0;7373.0;0.0;7373.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2121.0;125.0;1996.0;0.0;0.0;0.0;37.0;108.0;19.0;0.0;19.0;262.354;0.0;262.0;2547.44;8.32;0.0;0.18;0.0;0.0;0.0;1.86;0.0;89.6;0.0;0.0
FR-GES;GRAND EST;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;4897.0;319.0;9072.0;1238.0;0.0;1191.0;56.0;0.0;-6983.0;-6983.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3378.0;0.0;3378.0;10820.0;0.0;10820.0;1803.0;496.0;2268.0;0.0;2268.0;75.9025;0.0;76.0;18840.15;6.51;185.26;25.28;0.0;24.32;0.0;1.14;-142.6;0.0;0.0;0.0
FR-BFC;BOURGOGNE FRANCHE COMTE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2409.0;235.0;0.0;103.0;0.0;105.0;13.0;0.0;1949.0;0.0;1949.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;289.0;0.0;289.0;0.0;0.0;0.0;204.0;224.0;430.0;0.0;430.0;24.39;0.0;24.0;1171.28;9.76;0.0;4.28;0.0;4.36;0.0;0.54;0.0;80.9;0.0;0.0
FR-OCC;OCCITANIE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;4881.0;77.0;1549.0;236.0;0.0;744.0;78.0;-649.0;2841.0;0.0;2841.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.0;0.0;245.0;2620.0;0.0;2620.0;849.0;1040.0;4923.0;0.0;4923.0;126.337;0.0;126.0;9803.6;1.58;31.74;4.84;0.0;15.24;-13.3;1.6;0.0;58.21;0.0;0.0
FR-NAQ;NOUVELLE AQUITAINE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5443.0;242.0;5076.0;154.0;0.0;365.0;141.0;0.0;-541.0;-541.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;418.0;0.0;418.0;6630.0;595.0;6035.0;356.0;940.0;1617.0;0.0;1617.0;208.036;0.0;208.0;10169.33;4.45;93.26;2.83;0.0;6.71;0.0;2.59;-9.94;0.0;0.0;0.0
FR-PAC;PROVENCE ALPES COTE D AZUR;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5577.0;316.0;0.0;20.0;0.0;1205.0;58.0;0.0;3976.0;0.0;3976.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2095.0;62.0;2033.0;0.0;0.0;0.0;45.0;611.0;3086.0;0.0;3086.0;149.435;0.0;149.0;5987.01;5.67;0.0;0.36;0.0;21.61;0.0;1.04;0.0;71.29;0.0;0.0
FR-PDL;PAYS DE LA LOIRE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3383.0;125.0;0.0;125.0;0.0;1.0;28.0;0.0;3103.0;0.0;3103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1837.0;0.0;1837.0;0.0;0.0;0.0;454.0;385.0;5.0;0.0;5.0;56.503;0.0;57.0;2737.18;3.69;0.0;3.69;0.0;0.03;0.0;0.83;0.0;91.72;0.0;0.0
FR-CVL;CENTRE VAL DE LOIRE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2395.0;90.0;9456.0;530.0;0.0;34.0;25.0;0.0;-7742.0;-7742.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.0;0.0;157.0;11630.0;0.0;11630.0;662.0;155.0;91.0;0.0;91.0;41.276;0.0;41.0;12735.89;3.76;394.82;22.13;0.0;1.42;0.0;1.04;-323.26;0.0;0.0;0.0
FR-BRE;BRETAGNE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2874.0;58.0;0.0;139.0;0.0;202.0;20.0;-1.0;2454.0;0.0;2454.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;658.0;0.0;658.0;0.0;0.0;0.0;716.0;201.0;11.0;0.0;11.0;35.648;0.0;36.0;1621.37;2.02;0.0;4.84;0.0;7.03;-0.03;0.7;0.0;85.39;0.0;0.0
FR-NOR;NORMANDIE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3569.0;435.0;8317.0;143.0;0.0;12.0;54.0;0.0;-5394.0;-5394.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;753.0;0.0;753.0;10640.0;0.0;10640.0;423.0;206.0;22.0;0.0;22.0;87.757;0.0;88.0;12131.3;12.19;233.03;4.01;0.0;0.34;0.0;1.51;-151.13;0.0;0.0;0.0
FR-HDF;HAUTS DE FRANCE;2013-01-01 02:00:00;2013-01-01;02:00:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5695.0;828.0;4497.0;951.0;0.0;1.0;66.0;0.0;-650.0;-650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1806.0;0.0;1806.0;5460.0;0.0;5460.0;1527.0;186.0;4.0;0.0;4.0;122.104;0.0;122.0;9105.09;14.54;78.96;16.7;0.0;0.02;0.0;1.16;-11.41;0.0;0.0;0.0
