region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
BRETAGNE,2014-12-01 07:00:00,2014,335,07:00:00,335.29,95.0,0.0,158.0,0.0,93.0,41.0,-1.0,2429.0,0.0,0.0,712.0,712.0,0.0,0.0,781.0,217.0,272.0,272.0,52.0,52.0,3276543
NORMANDIE,2013-06-15 11:00:00,2013,166,11:00:00,166.46,233.0,6046.0,265.0,46.0,18.0,30.0,0.0,-3992.0,0.0,0.0,761.0,761.0,10640.0,9310.0,423.0,208.0,23.0,23.0,88.0,88.0,3328364
OCCITANIE,2021-08-02 04:30:00,2021,214,04:30:00,214.19,0.0,1260.0,214.0,0.0,400.0,94.0,-460.0,1137.0,0.0,0.0,325.0,325.0,2620.0,2620.0,1593.0,2636.0,5499.0,5332.0,172.0,172.0,6022176
HAUTS DE FRANCE,2015-11-14 09:30:00,2015,318,09:30:00,318.4,579.0,4496.0,791.0,6.0,1.0,122.0,0.0,146.0,0.0,0.0,2301.0,2051.0,5460.0,4550.0,2831.0,213.0,5.0,5.0,160.0,160.0,6009976
AUVERGNE RHONE ALPES,2017-12-28 07:30:00,2017,362,07:30:00,362.31,210.0,10158.0,185.0,0.0,3109.0,139.0,-241.0,-4556.0,0.0,0.0,1000.0,599.0,13570.0,12760.0,548.0,998.0,11253.0,11057.0,179.0,179.0,7948287
GRAND EST,2018-11-29 22:30:00,2018,333,22:30:00,333.94,1453.0,11977.0,1701.0,0.0,323.0,109.0,-181.0,-9332.0,0.0,0.0,3531.0,2936.0,10820.0,9940.0,3273.0,561.0,2301.0,2006.0,161.0,161.0,5550389
BOURGOGNE FRANCHE COMTE,2017-11-06 03:00:00,2017,310,03:00:00,310.12,127.0,0.0,105.0,0.0,32.0,23.0,0.0,1957.0,0.0,0.0,343.0,343.0,0.0,0.0,676.0,272.0,520.0,520.0,35.0,35.0,2811423
AUVERGNE RHONE ALPES,2021-07-03 18:30:00,2021,184,18:30:00,184.77,217.0,9905.0,36.0,325.0,4080.0,132.0,-12.0,-8948.0,0.0,0.0,1047.0,1047.0,13570.0,12690.0,723.0,1492.0,11771.0,11624.0,208.0,208.0,8114361
PAYS DE LA LOIRE,2018-02-09 10:30:00,2018,40,10:30:00,40.44,1179.0,0.0,429.0,15.0,4.0,46.0,0.0,3553.0,0.0,0.0,1954.0,1580.0,0.0,0.0,786.0,535.0,8.0,8.0,69.0,69.0,3781423
GRAND EST,2013-11-13 02:00:00,2013,317,02:00:00,317.08,1235.0,9846.0,196.0,0.0,970.0,62.0,-534.0,-6220.0,0.0,0.0,3398.0,3113.0,10820.0,10820.0,1943.0,507.0,2281.0,2281.0,93.0,93.0,5552388
